X,Y,OBJECTID,Stop,Place,Loca_latitude,Loca_longitude,Description,Street_dir_,Shelt_,Shelter_resp_,Bench,Trash_can,Route_Number,Route_Name
-83.2152520170016,42.4155569990028,2964,3201,,42.4155569987356,-83.2152520168795,McNichols & Harlow,EB,0,,0,0,32,McNichols
-83.2135148900016,42.4157830800028,2965,3203,,42.4157830803335,-83.2135148898701,McNichols & Lindsay,WB,0,,0,0,32,McNichols
-83.2114671610016,42.4156209440029,2966,3204,,42.4156209437579,-83.2114671614933,McNichols & Gilchrist,EB,0,,0,0,32,McNichols
-83.2103740510016,42.4158491330028,2967,3205,,42.4158491327341,-83.2103740507438,McNichols & Ferguson,WB,0,,0,0,32,McNichols
-83.1227998410016,42.4173990200029,2968,3275,,42.4173990196149,-83.1227998409604,McNichols & Inverness,EB,0,,0,0,32,McNichols
-83.1216150260016,42.4175638800028,2969,3279,,42.417563879783,-83.1216150260104,McNichols & Log Cabin,WB,0,,0,0,32,McNichols
-83.1189971730016,42.4175809940028,2970,3286,,42.4175809943393,-83.1189971733142,McNichols & Rosa Parks,WB,0,,0,0,32,McNichols
-83.1186568490016,42.4174669320028,2971,3287,,42.4174669315379,-83.1186568490977,McNichols & Rosa Parks,EB,0,,0,0,32,McNichols
-83.2659831830016,42.4146140730028,2972,3356,,42.4146140734926,-83.2659831826385,McNichols & Beaverland,EB,0,,0,0,32,McNichols
-83.1277790830016,42.4172969910029,2973,3385,,42.4172969911218,-83.1277790826398,McNichols & Linwood,EB,0,,0,0,32,McNichols
-83.1274526950016,42.4175247850029,2974,3386,,42.4175247848071,-83.1274526946263,McNichols & Normandy,WB,0,,0,0,32,McNichols
-83.1245598650016,42.4174940200028,2975,3387,,42.4174940198256,-83.1245598647683,McNichols & Baylis,WB,0,,0,0,32,McNichols
-83.1240198410016,42.4173640680028,2976,3388,,42.4173640678255,-83.1240198405687,McNichols & Baylis,EB,0,,0,0,32,McNichols
-82.9363790190016,42.4159019570029,2977,3861,,42.415901957107,-82.9363790188859,Cadieux & Harper,SB,0,,0,0,32,McNichols
-82.9520959300016,42.4166089330028,2978,3946,,42.4166089326644,-82.9520959304459,Whittier & Beaconsfield,WB,0,,0,0,32,McNichols
-82.9511390070016,42.4160629360029,2979,3947,,42.4160629361015,-82.9511390071948,Whittier & Beaconsfield,EB,0,,0,0,32,McNichols
-82.9492118710016,42.4152808800029,2980,3948,,42.4152808801274,-82.9492118712809,Whittier & Somerset,EB,0,,0,0,32,McNichols
-82.9499880850016,42.4157749650029,2981,3949,,42.4157749647869,-82.9499880852321,Whittier & Somerset,WB,0,,0,0,32,McNichols
-82.9453100820016,42.4138091120029,2982,3950,,42.4138091121875,-82.945310082084,Whittier & King Richard,WB,0,,0,0,32,McNichols
-82.9453530910016,42.4136770910028,2983,3951,,42.4136770911012,-82.9453530905626,Whittier & King Richard,EB,0,,0,0,32,McNichols
-82.9476730730016,42.4147860500028,2984,3952,,42.4147860503299,-82.9476730731117,Whittier & McKinney,WB,0,,0,0,32,McNichols
-82.9472289660016,42.4144451250029,2985,3953,,42.4144451253376,-82.9472289664878,Whittier & McKinney,EB,0,,0,0,32,McNichols
-82.9319571090016,42.4091959970029,2986,3970,,42.409195996737,-82.9319571092701,Cadieux & Southampton,SB,0,,0,0,32,McNichols
-82.9317880100016,42.4092860760029,2987,3971,,42.4092860763191,-82.9317880102824,Cadieux & Southampton,NB,0,,0,0,32,McNichols
-82.9329730830016,42.4106900320029,2988,3975,,42.4106900316717,-82.9329730829777,Cadieux & Chandler Park Dr,SB,0,,0,0,32,McNichols
-82.9332301500016,42.4114620110028,2989,3976,,42.4114620108626,-82.9332301499564,Cadieux & Chandler Park Dr,NB,0,,0,0,32,McNichols
-82.9352001510016,42.4141070260028,2990,3977,,42.4141070264406,-82.9352001505089,Cadieux & Berden,SB,0,,0,0,32,McNichols
-82.9352399100016,42.4145049310029,2991,3978,,42.4145049312086,-82.9352399098146,Cadieux & Berden,NB,0,,0,0,32,McNichols
-83.1642061000016,42.4167409860028,2992,4169,,42.4167409864459,-83.1642061000029,McNichols & Birwood,EB,0,,0,0,32,McNichols
-83.1621800250016,42.4167851160028,2993,4171,,42.4167851164442,-83.1621800247718,McNichols & Ilene,EB,0,,0,0,32,McNichols
-83.1608448610016,42.4168401130028,2994,4172,,42.416840112768,-83.1608448612844,McNichols & Wyoming,EB,0,,0,0,32,McNichols
-83.1606698200016,42.4170240500029,2995,4175,,42.4170240498697,-83.1606698201868,McNichols & Wyoming,WB,0,,0,1,32,McNichols
-83.1570418490016,42.4169149520029,2996,4176,,42.4169149521656,-83.1570418485542,McNichols & Wisconsin,EB,1,DDOT,0,1,32,McNichols
-83.1539650970016,42.4169919300029,2997,4178,,42.4169919296581,-83.153965096656,McNichols & Cherrylawn,EB,0,,0,1,32,McNichols
-83.1505569200016,42.4170460660029,2998,4180,,42.4170460662712,-83.1505569203123,McNichols & Greenlawn,EB,0,,0,0,32,McNichols
-83.1516690770016,42.4171649960029,2999,4181,,42.4171649960017,-83.1516690769467,McNichols & Greenlawn,WB,0,,1,0,32,McNichols
-83.0140921330016,42.4307961020029,3000,4807,,42.4307961022861,-83.014092132614,E Outer Dr & Linnhurst,NB,0,,0,0,32,McNichols
-83.0141970480016,42.4325011100028,3001,4808,,42.4325011099989,-83.0141970475421,E Outer Dr & Eastwood,NB,0,,0,0,32,McNichols
-82.9591690500016,42.4263370640029,3002,4817,,42.4263370644097,-82.9591690502036,Kelly & Troester,NB,0,,0,0,32,McNichols
-82.9591630700016,42.4271109360029,3003,4819,,42.4271109357091,-82.9591630698938,Seymour & Kelly,WB,0,,0,0,32,McNichols
-83.0758191230016,42.4185411110029,3004,5006,,42.4185411107869,-83.0758191232054,McNichols & Mackay,EB,0,,0,0,32,McNichols
-83.0766840860016,42.4186261320028,3005,5007,,42.4186261317215,-83.0766840861333,McNichols & Mackay,WB,0,,0,0,32,McNichols
-83.0721518200016,42.4185249100028,3006,5009,,42.4185249101226,-83.0721518198427,McNichols & Joseph Campau,EB,0,,0,0,32,McNichols
-83.0731159070016,42.4186700930029,3007,5012,,42.4186700928087,-83.0731159073811,McNichols & Joseph Campau,WB,1,DDOT,0,0,32,McNichols
-83.0706211160016,42.4185719540029,3008,5013,,42.4185719539819,-83.0706211156052,McNichols & Mitchell,EB,0,,0,0,32,McNichols
-83.0715189490016,42.4186969090029,3009,5014,,42.4186969090385,-83.0715189494597,McNichols & Mitchell,WB,0,,0,1,32,McNichols
-83.0691450470016,42.4186810760029,3010,5015,,42.4186810764293,-83.0691450469168,McNichols & Charest,WB,0,,0,0,32,McNichols
-83.0672609760016,42.4185859940029,3011,5016,,42.4185859942634,-83.0672609760602,McNichols & Gallagher,EB,0,,0,0,32,McNichols
-83.0655370960016,42.4185890450029,3012,5030,,42.4185890449189,-83.0655370959722,McNichols & Klinger,EB,0,,0,0,32,McNichols
-83.0663009050016,42.4186930210029,3013,5031,,42.4186930209725,-83.0663009045524,McNichols & Newbern,WB,0,,0,0,32,McNichols
-83.0617268240016,42.4187670980029,3014,5040,,42.4187670975145,-83.0617268237221,McNichols & Dean,WB,0,,0,0,32,McNichols
-83.0598670580016,42.4186790330028,3015,5041,,42.4186790328851,-83.0598670580968,McNichols & Sunset,EB,0,,0,0,32,McNichols
-83.0597730030017,42.4187838860028,3016,5042,,42.4187838862654,-83.05977300317,McNichols & Shields,WB,0,,0,0,32,McNichols
